Gear_name,Gear_code,Propgutted_PF,Propgutted_DF,Propgutted_MF,Propgutted_FDB,Propguttede_CSB,Propgutted_CZ,Propgutted_BD,Propgutted_SL,Propgutted_CT,Propgutted_KP
Dredging,MD,0,0,0,0,0,0,0,0,0,0
Harpoons,Harp,0,0,0,0,0,0,0,0,0,0
Kelp harvesting,KH,0,0,0,0,0,0,0,0,0,0
Longlines_and_Gillnets,LLGN,0,0.5,0.5,0,0,0,0,0,0,0
Pelagic_Trawlers_and_Seines,PTS,0,0,0,0,0,0,0,0,0,0
Pots,CR,0,0,0,0,0,0,0,0,0,0
Recreational,Rec,0,0,0,0,0,0,0,0,0,0
Shelf_Trawlers,ST,0,0.5,0.5,0,0,0,0,0,0,0
Blank1,B1,0,0,0,0,0,0,0,0,0,0
Blank2,B2,0,0,0,0,0,0,0,0,0,0
Blank3,B3,0,0,0,0,0,0,0,0,0,0
Blank4,B4,0,0,0,0,0,0,0,0,0,0
