"Gear_name","Gear_code","Discardrate_PF","Discardrate_DF","Discardrate_MF","Discardrate_FDB","Discardrate_CSB","Discardrate_CZ","Discardrate_BD","Discardrate_SL","Discardrate_CT","Discardrate_KP"
"Mollusc_dredge","MD",1,1,1,1,1,1,1,1,1,1
"Harpoons","Harp",1,1,1,1,1,1,1,1,0,1
"Kelp_harvester","KH",1,1,1,1,1,1,1,1,1,0
"Longlines+Gillnets","LLGN",0,0,0,1,0,0,1,1,0,1
"Pelagic_trawl+seine","PTS",0.00113070234458714,0,0.000365185519552779,0,0,0,1,1,0,1
"Creels","CR",1,0,1,0,0,1,1,1,1,1
"Recreational","Rec",1,0,0,1,1,1,1,1,1,1
"Shelf_Trawlers","ST",0.00840773809523814,0.0834845837074497,0,0,0,0,1,1,0,1
"Blank1","B1",1,1,1,1,1,1,1,1,1,1
"Blank2","B2",1,1,1,1,1,1,1,1,1,1
"Blank3","B3",1,1,1,1,1,1,1,1,1,1
"Blank4","B4",1,1,1,1,1,1,1,1,1,0
