consumer,Cumax,Cddexud,Numax,Nhsat,BdeApar,ddmort,migration_coef,max_exploitable_f
kelp,0.025839956,1.81E-08,0.009190877,18.271599,NA,0.000000031,NA,0.04138815
phyt_s,NA,NA,2.876241262,4.301524543,NA,0.051417564,NA,NA
phyt_d,NA,NA,NA,NA,NA,0.063279587,NA,NA
omnivzoo,NA,NA,2.155825105,0.677995391,NA,0.0000335,NA,NA
carnzoo,NA,NA,0.154001331,0.217293261,NA,0.000209028,NA,0.003570746
fishplar,NA,NA,0.314745919,1.281543918,NA,0.0000041,NA,NA
fishdlar,NA,NA,0.232686522,0.407144974,NA,0.000000579,NA,NA
fishp,NA,NA,0.133555539,0.42530151,NA,0.0000573,0.001579128,0.874288045
fishm,NA,NA,0.033269032,0.452790194,NA,0.00000169,3.54E-05,0.684448782
fishd,NA,NA,0.010948049,0.105157901,NA,0.0001128,0.002204908,0.899809419
benthslar,NA,NA,0.334369632,0.20656841,NA,0.00000963,NA,NA
benthclar,NA,NA,0.992552965,0.474161518,NA,0.000000254,NA,NA
benths,NA,NA,0.909766503,0.344461128,NA,0.000367413,NA,0.030433928
benthc,NA,NA,0.026744952,1.803203411,NA,0.000397912,NA,0.154553198
bird,NA,NA,0.648064474,0.198953885,4553.17928,0.0436711,0.0097588,0.1000944
seal,NA,NA,0.430476354,0.333708731,2113.567153,0.005090688,0.009837035,0.099357706
ceta,NA,NA,0.39811916,0.103831061,895.342248,0.001050373,0.009984523,0.313324987
